  SYNTACTIC SCORES:
  Labeled   attachment score: 14025 / 25096 * 100 = 55.89 %
  Unlabeled attachment score: 20407 / 25096 * 100 = 81.32 %
  Label accuracy score:       15824 / 25096 * 100 = 63.05 %
  Exact syntactic match:      340 / 2077 * 100 = 16.37 %

  SEMANTIC SCORES: 
  Labeled precision:          (6719 + 4729) / (8048 + 4799) * 100 = 89.11 %
  Labeled recall:             (6719 + 4729) / (9435 + 4799) * 100 = 80.43 %
  Labeled F1:                 84.55 
  Unlabeled precision:        (7402 + 4799) / (8048 + 4799) * 100 = 94.97 %
  Unlabeled recall:           (7402 + 4799) / (9435 + 4799) * 100 = 85.72 %
  Unlabeled F1:               90.11 
  Proposition precision:      2519 / 4799 * 100 = 52.49 %
  Proposition recall:         2519 / 4799 * 100 = 52.49 %
  Proposition F1:             52.49 
  Exact semantic match:       1043 / 2077 * 100 = 50.22 %

  OVERALL MACRO SCORES (Wsem = 0.50):
  Labeled macro precision:    72.50 %
  Labeled macro recall:       68.16 %
  Labeled macro F1:           70.26 %
  Unlabeled macro precision:  88.14 %
  Unlabeled macro recall:     83.52 %
  Unlabeled macro F1:         85.77 %
  Exact overall match:        336 / 2077 * 100 = 16.18 %

  OVERALL MICRO SCORES:
  Labeled micro precision:    (14025 + 6719 + 4729) / (25096 + 8048 + 4799) * 100 = 67.13 %
  Labeled micro recall:       (14025 + 6719 + 4729) / (25096 + 9435 + 4799) * 100 = 64.77 %
  Labeled micro F1:           65.93 
  Unlabeled micro precision:  (20407 + 7402 + 4799) / (25096 + 8048 + 4799) * 100 = 85.94 %
  Unlabeled micro recall:     (20407 + 7402 + 4799) / (25096 + 9435 + 4799) * 100 = 82.91 %
  Unlabeled micro F1:         84.40 

  ================================================================================

  Evaluation of the syntactic results in model/srlreplaced/upos/transformer/150cc3f4-dd72-493d-a6a1-f141a1782d75/predicted-props-conll09.tsv
  vs. gold standard model/srlreplaced/upos/transformer/150cc3f4-dd72-493d-a6a1-f141a1782d75/target-props-conll09.tsv:

  Legend: '.S' - the beginning of a sentence, '.E' - the end of a sentence

  Number of non-scoring tokens: 0

  The overall accuracy and its distribution over PPOSS tags

  -----------+-------+-------+------+-------+------+-------+-------
  Accuracy   | words | right |   %  | right |   %  | both  |   %
             |       | head  |      |  dep  |      | right |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 25096 | 20407 |  81% | 15824 |  63% | 14025 |  56%
  -----------+-------+-------+------+-------+------+-------+-------
  _          | 25096 | 20407 |  81% | 15824 |  63% | 14025 |  56%
  -----------+-------+-------+------+-------+------+-------+-------


  The overall error rate and its distribution over PPOSS tags

  -----------+-------+-------+------+-------+------+-------+-------
  Error      | words | head  |   %  |  dep  |   %  | both  |   %
  Rate       |       | err   |      |  err  |      | wrong |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 25096 |  4689 |  19% |  9272 |  37% |  2890 |  12%
  -----------+-------+-------+------+-------+------+-------+-------
  _          | 25096 |  4689 |  19% |  9272 |  37% |  2890 |  12%
  -----------+-------+-------+------+-------+------+-------+-------


  Precision and recall of DEPREL

  ----------------+------+---------+--------+------------+---------------
  deprel          | gold | correct | system | recall (%) | precision (%) 
    8  nsubj advmod *root* obj punct / _ _ *root* _ punct 
    8  amod *compound* / *compound* 
    8  nsubj *acl:relcl* obj / _ *acl:relcl* _ 
    8  ** root / ** root case 
    8  mark *xcomp* obl / mark *xcomp* _ 
    8  *compound* / det *compound* 
    8  *case* fixed / *case* 
    8  cc nsubj cop *conj* / cc cop *conj* 
    8  cc *conj* / cc *conj* _ 
    8  mark nsubj *advcl* xcomp / mark _ *advcl* _ 
    8  nmod:poss *obj* / _ *obj* 
    7  amod *obj* / _ *obj* 
    7  *cop* / _ *cop* _ _ _ 
    7  det *obj* acl / det *obj* 
    7  *xcomp* obj / *xcomp* _ 
    7  det amod *obj* nmod / det _ *obj* _ 
    7  *root* obj / *root* _ 
    7  mark nsubj *advcl* obj / _ _ *advcl* _ 
    7  nsubj aux advmod *acl:relcl* / _ aux _ *acl:relcl* 
    7  nsubj *root* obl punct / _ *root* _ punct 
    7  nsubj aux *acl:relcl* / _ _ *acl:relcl* 
    7  det *obj* / det *obj* _ 
    7  nsubj aux *ccomp* obj / _ _ *ccomp* _ 
    7  *xcomp* / *xcomp* _ 
    7  *compound* / case *compound* 
    7  advmod *amod* / *amod* 
    7  nsubj *root* obj conj punct / _ *root* _ conj punct 
    7  case *obl* nmod / case *obl* _ 
    7  nsubj cop advmod *root* punct / cop *root* punct 
    7  *list* / *list* punct 
    7  det *obj* nmod / det *obj* 
    6  *xcomp* ccomp / *xcomp* _ 
    6  *obj* nmod / *obj* 
    6  nsubj *acl:relcl* / _ _ *acl:relcl* 
    6  nsubj *root* obj punct / _ *root* _ 
    6  *amod* / *amod* conj 
    6  ** root / ** _ _ 
    6  *compound* / case det *compound* 
    6  compound *compound* / _ *compound* 
    6  mark nsubj cop *advcl* / mark cop *advcl* 
    6  *compound* / *compound* list 
    6  mark *advcl* obl / mark *advcl* _ 
    6  nsubj *acl:relcl* / _ *acl:relcl* 
    6  nmod:poss *nsubj* / _ *nsubj* 
    6  nsubj cop *parataxis* / cop *parataxis* 
    6  nsubj *root* ccomp conj punct / _ *root* _ conj punct 
    6  mark *xcomp* obl obl / mark *xcomp* _ _ 
    6  advmod *xcomp* / _ *xcomp* 
    6  cc *conj* obl / cc *conj* _ 
    6  cc amod *conj* / cc _ *conj* 
    6  mark expl *advcl* nsubj / mark expl *advcl* _ 
    6  *list* / *list* punct appos 
    6  cc *conj* ccomp / cc *conj* _ 
    6  nsubj *root* obj obl conj punct / _ *root* _ _ conj punct 
    6  *aux* / *aux* _ 
    6  ** root / ** root nmod 
    6  *root* obl / *root* _ 
    6  cc *conj* xcomp / cc *conj* _ 
    6  *acl* obl / _ *acl* _ 
    6  amod *root* / _ *root* 
    6  *advmod* / *advmod* punct 
    5  *cop* / _ _ _ *cop* _ _ 
    5  *root* ccomp punct / *root* _ punct 
    5  mark *advcl* obj obl / mark *advcl* _ _ 
    5  *root* flat punct list punct list / *root* flat punct punct appos 
    5  *cop* / _ _ _ *cop* 
    5  case amod *nmod* / case _ *nmod* 
    5  *amod* / *amod* obl 
    5  punct cc nsubj *conj* ccomp / punct cc _ *conj* _ 
    5  cc nsubj *conj* obj / cc _ *conj* _ 
